Time	SO2/CO2	H2S/SO2
29/04/14 12:00  		0.01
29/04/14 18:12	0.61	0.01
30/04/14 00:03	1.12	0.01
30/04/14 06:14	1.64	0.01
30/04/14 12:13	1.64	0.01
30/04/14 18:11	1.76	0.01
01/05/14 00:22	1.59	0.01
01/05/14 06:15	1.32	0.01
01/05/14 12:09	1.15	0.01
01/05/14 18:16	2.14	0.01
02/05/14 00:16	1.49	0.01
03/05/14 18:21	1.94	0.01
04/05/14 18:06	1.26	0.01
05/05/14 00:15	1.18	0.01
05/05/14 18:08	1.80	0.01
06/05/14 18:12	2.06	0.01
07/05/14 00:07	1.30	0.01
07/05/14 06:15	1.33	0.01
08/05/14 00:22	0.98	0.01
08/05/14 18:14	1.16	0.01
09/05/14 18:16	1.40	0.01
10/05/14 00:08	1.52	0.01
10/05/14 18:18	1.75	0.01
12/05/14 18:24	1.86	0.01
13/05/14 00:13	1.84	0.01
13/05/14 06:21	2.34	0.01
13/05/14 12:18	2.13	0.01
13/05/14 18:20	2.37	0.01
14/05/14 18:12	1.88	0.01
15/05/14 00:18	1.92	0.01
15/05/14 12:19	1.91	0.01
15/05/14 18:17	2.19	0.01
16/05/14 00:10	2.13	0.01
16/05/14 06:05	1.92	0.01
16/05/14 12:11	2.13	0.01
16/05/14 18:12	2.07	0.01
17/05/14 00:14	1.69	0.01
17/05/14 06:18	1.32	0.01
17/05/14 12:14	1.12	0.01
17/05/14 18:16	1.54	0.01
18/05/14 00:20	1.54	0.01
18/05/14 12:16	1.83	0.01
18/05/14 18:22	1.82	0.01
19/05/14 06:22	1.94	0.01
19/05/14 18:18	2.18	0.01
20/05/14 06:14	1.64	0.01
20/05/14 12:16	1.41	0.01
20/05/14 18:14	1.36	0.01
21/05/14 00:17	1.19	0.01
21/05/14 06:22	0.96	0.01
22/05/14 00:21	1.05	0.01
22/05/14 12:15	1.15	0.01
22/05/14 18:19	1.31	0.01
23/05/14 12:29	1.41	0.01
23/05/14 18:14	1.63	0.01
24/05/14 00:23	1.80	0.01
24/05/14 06:17	2.20	0.01
24/05/14 12:12	2.34	0.01
24/05/14 18:17	1.91	0.01
25/05/14 00:04	2.33	0.01
25/05/14 06:08	2.04	0.01
25/05/14 18:15	1.84	0.01
26/05/14 18:16	1.49	0.01
27/05/14 00:14	1.13	0.01
27/05/14 06:18	1.02	0.01
27/05/14 12:17	1.23	0.01
27/05/14 18:20	1.42	0.01
28/05/14 00:06	1.49	0.01
28/05/14 12:14	1.33	0.01
29/05/14 00:20	1.46	0.01
29/05/14 18:18	1.70	0.01
30/05/14 18:17	2.76	0.01
02/06/14 18:17	2.24	0.01
03/06/14 06:17	2.51	0.01
03/06/14 12:09	1.95	0.01
03/06/14 18:10	2.04	0.01
04/06/14 00:29	1.82	0.01
04/06/14 12:05	1.82	0.01
04/06/14 18:08	1.89	0.01
05/06/14 00:27	1.79	0.01
05/06/14 06:09	1.61	0.01
05/06/14 12:09	1.32	0.01
05/06/14 18:11	1.30	0.01
06/06/14 00:14	0.90	0.01
06/06/14 14:24	0.81	0.01
06/06/14 18:19	1.13	0.01
10/06/14 14:55	1.61	0.01
10/06/14 15:07	1.67	0.01
10/06/14 18:14	1.71	0.01
12/06/14 16:17	2.37	0.01
26/08/14 18:03		0.056433
27/08/14 00:00		0.166933
27/08/14 18:00		0.056098
27/08/14 18:17	5.88235294	
27/08/14 18:24	3.84615385	
28/08/14 12:00		0.22991
28/08/14 18:00		0.12379
29/08/14 06:00		0.070684
29/08/14 12:00		0.064295
29/08/14 12:09	2.7027027	
29/08/14 12:16	3.22580645	
29/08/14 18:00		0.078336
29/08/14 18:17	3.7037037	
30/08/14 00:00		0.112834
30/08/14 18:00		0.089239
30/08/14 18:15	2.27272727	
31/08/14 06:00		0.084496
31/08/14 12:01		0.102284
31/08/14 18:00		0.068848
31/08/14 18:20	3.84615385	
01/09/14 00:00		0.072329
01/09/14 00:24	4.54545455	
01/09/14 06:00		0.074336
01/09/14 06:07	4	
01/09/14 06:14	3.22580645	
01/09/14 12:00		0.186021
01/09/14 18:00		0.093735
01/09/14 18:25	4.16666667	
02/09/14 00:00		0.087837
02/09/14 00:28	4	
02/09/14 06:00		0.139655
02/09/14 12:00		0.132775
02/09/14 18:00		0.110819
03/09/14 00:00		0.092368
03/09/14 00:13	4	
03/09/14 06:00		0.093585
03/09/14 12:00		0.08156
03/09/14 18:28	4.54545455	
04/09/14 00:00		0.141795
04/09/14 12:00		0.203321
04/09/14 18:00		0.086722
05/09/14 00:00		0.074681
05/09/14 18:00		0.078011
06/09/14 00:00		0.121773
06/09/14 00:28	3.33333333	
06/09/14 12:00		0.211919
06/09/14 18:00		0.135884
07/09/14 12:00		0.106802
07/09/14 12:19	2.77777778	
07/09/14 18:00		0.111743
07/09/14 18:19	3.44827586	
08/09/14 00:00		0.206125
08/09/14 18:00		0.092975
08/09/14 18:23	3.33333333	
09/09/14 00:00		0.092321
09/09/14 00:12	3.33333333	
09/09/14 18:00		0.122421
10/09/14 00:00		0.013591
10/09/14 06:00		0.070064
10/09/14 12:00		0.181991
10/09/14 18:00		0.094072
11/09/14 00:00		0.207333
11/09/14 06:00		0.273998
11/09/14 12:00		0.166752
11/09/14 18:00		0.103768
11/09/14 18:20	2.3255814	
12/09/14 00:00		0.255878
12/09/14 06:00		0.01
12/09/14 12:00		0.239224
12/09/14 18:00		0.113292
12/09/14 18:27	3.33333333	
13/09/14 00:00		0.252245
13/09/14 12:00		0.137323
13/09/14 18:00		0.16182
14/09/14 00:00		0.304739
14/09/14 12:00		0.128632
14/09/14 18:00		0.121752
14/09/14 18:29	1.51515152	
15/09/14 00:00		0.224924
15/09/14 06:00		0.01
15/09/14 18:00		0.18845
16/09/14 00:00		0.01
16/09/14 06:00		0.284354
16/09/14 18:00		0.115204
16/09/14 18:07	2.43902439	
17/09/14 00:00		0.01
17/09/14 06:01		0.25403
17/09/14 18:00		0.176199
18/09/14 00:00		0.171207
18/09/14 00:15	4	
18/09/14 00:15	4	
18/09/14 06:00		0.210761
18/09/14 18:00		0.081208
19/09/14 00:00		0.216023
19/09/14 06:00		0.085069
19/09/14 12:00		0.354781
19/09/14 18:00		0.114354
20/09/14 00:00		0.253184
20/09/14 18:00		0.126771
20/09/14 18:28	2.56410256	
21/09/14 06:00		0.01
21/09/14 12:00		0.01
21/09/14 18:00		0.118929
21/09/14 18:10	2.38095238	
22/09/14 00:00		0.33303
22/09/14 18:00		0.13454
22/09/14 18:16	1.96078431	
23/09/14 00:01		0.171865
